rank,feature_index,id,length,gc_content,complexity,importance_score
68,59337,2590848,85,52.94117647058824,1.9949550004971865,6.753509998321533
69,36877,2516167,65,55.38461538461539,1.952785315339241,6.720203399658203
70,89125,2693025,70,57.14285714285714,1.9634688265852156,6.7199859619140625
71,55081,2576441,61,34.42622950819672,1.6796605229195791,6.692014217376709
72,48012,2551293,62,69.35483870967742,1.8667647420676337,6.691284656524658
73,87324,2686038,86,37.2093023255814,1.9455732135644725,6.682773113250732
74,65958,2614550,69,55.072463768115945,1.985113277217706,6.6774773597717285
75,105830,2749102,63,47.61904761904761,1.924704223104421,6.65211820602417
76,101239,2733150,63,60.317460317460316,1.9268893054615057,6.632716655731201
77,56992,2582313,127,62.99212598425197,1.9376703609133463,6.567154407501221
78,80293,2662034,61,57.377049180327866,1.967572297254217,6.546079635620117
79,37779,2517730,88,55.68181818181818,1.9618416152153642,6.537883758544922
80,73964,2641333,75,53.333333333333336,1.9591516993505078,6.522859573364258
81,99701,2727509,92,40.21739130434783,1.953586136182168,6.50068998336792
82,84899,2679056,61,59.01639344262295,1.941043078129074,6.479307651519775
83,41500,2530790,77,64.93506493506493,1.8939542059417067,6.454935073852539
84,53404,2570063,61,36.0655737704918,1.882340774344565,6.435511112213135
85,41411,2530674,76,38.15789473684211,1.9488899831923336,6.425378322601318
86,324,2369689,78,61.53846153846154,1.9562895948660244,6.391005992889404
87,26039,2469369,78,61.53846153846154,1.9542823944388745,6.374361038208008
88,15887,2433232,73,64.38356164383562,1.9043900688745723,6.361961364746094
89,21623,2453718,74,52.702702702702695,1.9546470021520541,6.352294921875
90,62885,2604750,61,59.01639344262295,1.941043078129074,6.350584030151367
91,101126,2732840,61,39.34426229508197,1.964692469985276,6.349208831787109
92,40305,2526014,84,72.61904761904762,1.8225296565972955,6.341196537017822
93,89128,2693057,61,42.62295081967213,1.4561112661478437,6.3057861328125
94,55807,2579762,61,40.98360655737705,1.9721468987802635,6.301294326782227
95,1305,2372602,92,54.347826086956516,1.8996320824496964,6.270742893218994
96,12332,2423568,62,59.67741935483871,1.9720263244856202,6.25966215133667
97,28898,2479982,94,51.06382978723404,1.9932354041872555,6.255466938018799
98,92740,2705408,70,54.285714285714285,1.9563773622329639,6.231962203979492
99,49358,2557363,61,31.147540983606557,1.8225272911251393,6.228535175323486
100,46138,2544980,94,52.12765957446809,1.955657628583834,6.220426082611084
