rank,feature_index,id,length,gc_content,complexity,importance_score
70,17198,2438938,61,59.01639344262295,1.951609205273301,7.668569564819336
71,101923,2735640,67,43.28358208955223,1.911730411258397,7.586219787597656
72,75809,2647627,63,49.2063492063492,1.9694654837736065,7.5766825675964355
73,53404,2570063,61,36.0655737704918,1.882340774344565,7.571778297424316
74,40305,2526014,84,72.61904761904762,1.8225296565972955,7.528844356536865
75,32725,2491740,73,54.794520547945204,1.9890983405616893,7.489254951477051
76,91251,2700061,75,24.0,1.756623811079363,7.484999656677246
77,89128,2693057,61,42.62295081967213,1.4561112661478437,7.477157115936279
78,59916,2593274,61,50.81967213114754,1.9510501943492131,7.420011043548584
79,38529,2520626,61,67.21311475409836,1.9029213083046062,7.408377647399902
80,50944,2562895,62,61.29032258064516,1.9353651203688242,7.399349689483643
81,30473,2483992,111,42.34234234234234,1.9791438833695252,7.38966703414917
82,48145,2551982,73,75.34246575342466,1.7967679474356328,7.320629596710205
83,1305,2372602,92,54.347826086956516,1.8996320824496964,7.319677352905273
84,41411,2530674,76,38.15789473684211,1.9488899831923336,7.31055212020874
85,81434,2666828,73,64.38356164383562,1.8975950535748443,7.25870418548584
86,65958,2614550,69,55.072463768115945,1.985113277217706,7.244913101196289
87,89125,2693025,70,57.14285714285714,1.9634688265852156,7.239560127258301
88,83374,2673228,61,54.09836065573771,1.9919185379284219,7.22899866104126
89,46190,2545043,66,53.03030303030303,1.9714157726920518,7.185769081115723
90,27423,2475117,76,55.26315789473685,1.9809855619393553,7.177395820617676
91,89071,2692552,78,56.41025641025641,1.934559199734664,7.157999038696289
92,26663,2473419,62,59.67741935483871,1.9682932540125773,7.150772571563721
93,67555,2617732,61,37.704918032786885,1.880519688347976,7.136795997619629
94,32598,2491286,68,52.94117647058824,1.971335285306981,7.132468223571777
95,62765,2604082,61,55.73770491803278,1.966880311143805,7.116427421569824
96,55247,2576623,96,51.041666666666664,1.994301498523218,7.114226818084717
97,32,2368942,61,55.73770491803278,1.990041897445637,7.048586845397949
98,35518,2511133,61,52.459016393442624,1.900422463795553,7.034585952758789
99,92740,2705408,70,54.285714285714285,1.9563773622329639,7.011465072631836
100,76352,2648884,80,67.5,1.8929414913662503,6.999748706817627
