task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
feature	cave	ig	22	63578	3321701	0.028158966451883316	71	34
feature	cave	ig	23	10272	2855883	0.027481114491820335	72	34
feature	cave	ig	24	47966	3191491	0.02726900950074196	81	34
feature	cave	ig	25	12113	2861609	0.027230428531765938	61	34
feature	cave	ig	26	35918	3055601	0.02709951624274254	68	34
feature	cave	ig	27	16551	2898102	0.025587378069758415	78	34
feature	cave	ig	28	47657	3190201	0.024087639525532722	66	34
feature	cave	ig	29	5505	2822463	0.023863844573497772	81	34
feature	cave	ig	30	69483	3342226	0.02381182834506035	62	34
feature	cave	ig	31	95134	3443497	0.0236651673913002	63	34
feature	cave	ig	32	62454	3319625	0.022899314761161804	63	34
feature	cave	ig	33	96411	3448498	0.022762473672628403	83	34
feature	cave	ig	34	88705	3423487	0.02217104472219944	69	34
feature	cave	ig	35	49907	3217624	0.022136719897389412	61	34
feature	cave	ig	36	24404	2923759	0.02113690972328186	61	34
feature	cave	ig	37	3686	2816596	0.020457066595554352	77	34
feature	cave	ig	38	51605	3224035	0.020243315026164055	63	34
feature	cave	ig	39	99387	3457586	0.019766680896282196	67	34
feature	cave	ig	40	78736	3391086	0.019567357376217842	68	34
feature	cave	ig	41	23087	2918752	0.01952136866748333	61	34
feature	cave	ig	42	99450	3458162	0.019501931965351105	61	34
feature	cave	ig	43	74486	3376093	0.018018031492829323	61	34
feature	cave	ig	44	29203	2960823	0.01561893243342638	61	34
feature	cave	ig	45	50517	3219459	0.015616986900568008	67	34
feature	cave	ig	46	102362	3465923	0.01530206948518753	78	34
feature	cave	ig	47	50520	3219463	0.014812310226261616	61	34
feature	cave	ig	48	35857	3055535	0.014808053150773048	67	34
feature	cave	ig	49	105054	3475794	0.01427858043462038	67	34
feature	cave	ig	50	69845	3342994	0.013717832043766975	70	34
feature	cave	gxi	1	84676	3408017	0.04503839835524559	98	34
feature	cave	gxi	2	40242	3086093	0.0424872525036335	73	34
feature	cave	gxi	3	32145	3023679	0.03958559036254883	67	34
feature	cave	gxi	4	77085	3385494	0.03710233047604561	65	34
feature	cave	gxi	5	101159	3462275	0.03688337281346321	62	34
feature	cave	gxi	6	26084	2929083	0.03672978654503822	65	34
feature	cave	gxi	7	40792	3108998	0.036106888204813004	61	34
feature	cave	gxi	8	70924	3344861	0.03500175103545189	61	34
feature	cave	gxi	9	51957	3225071	0.03457172214984894	63	34
feature	cave	gxi	10	10249	2855824	0.03339367359876633	61	34
feature	cave	gxi	11	22484	2917459	0.02987654134631157	61	34
feature	cave	gxi	12	63578	3321701	0.02961796149611473	71	34
feature	cave	gxi	13	93145	3437749	0.029527870938181877	64	34
feature	cave	gxi	14	69483	3342226	0.029195616021752357	62	34
feature	cave	gxi	15	16555	2898126	0.02775275707244873	61	34
feature	cave	gxi	16	69694	3342780	0.026725193485617638	72	34
feature	cave	gxi	17	58522	3264681	0.02588759735226631	61	34
feature	cave	gxi	18	105411	3476413	0.02553587779402733	87	34
feature	cave	gxi	19	37895	3079080	0.025467239320278168	69	34
feature	cave	gxi	20	101174	3462342	0.025354567915201187	62	34
feature	cave	gxi	21	13212	2865911	0.02443683333694935	61	34
feature	cave	gxi	22	71289	3348470	0.024268820881843567	63	34
feature	cave	gxi	23	16551	2898102	0.02222832478582859	78	34
feature	cave	gxi	24	10272	2855883	0.020018871873617172	72	34
feature	cave	gxi	25	47966	3191491	0.019811687991023064	81	34
feature	cave	gxi	26	88705	3423487	0.01967034675180912	69	34
feature	cave	gxi	27	49907	3217624	0.019015753641724586	61	34
feature	cave	gxi	28	35918	3055601	0.018986500799655914	68	34
feature	cave	gxi	29	47657	3190201	0.01883172243833542	66	34
feature	cave	gxi	30	96411	3448498	0.01839759200811386	83	34
feature	cave	gxi	31	15280	2873027	0.018306540325284004	75	34
feature	cave	gxi	32	99522	3458410	0.018185749650001526	63	34
feature	cave	gxi	33	5505	2822463	0.01745430938899517	81	34
feature	cave	gxi	34	12113	2861609	0.01741887629032135	61	34
feature	cave	gxi	35	51605	3224035	0.016574064269661903	63	34
feature	cave	gxi	36	78736	3391086	0.016301246359944344	68	34
feature	cave	gxi	37	99387	3457586	0.016220280900597572	67	34
feature	cave	gxi	38	3686	2816596	0.01613878272473812	77	34
feature	cave	gxi	39	24404	2923759	0.015459509566426277	61	34
feature	cave	gxi	40	62454	3319625	0.015424512326717377	63	34
feature	cave	gxi	41	74486	3376093	0.01519506424665451	61	34
feature	cave	gxi	42	99450	3458162	0.014397291466593742	61	34
feature	cave	gxi	43	95134	3443497	0.01437516137957573	63	34
feature	cave	gxi	44	23087	2918752	0.014263208955526352	61	34
feature	cave	gxi	45	35857	3055535	0.014030537568032742	67	34
feature	cave	gxi	46	19328	2906763	0.013176744803786278	63	34
feature	cave	gxi	47	102362	3465923	0.012332458049058914	78	34
feature	cave	gxi	48	57971	3260391	-0.012093606404960155	5410	34
feature	cave	gxi	49	50520	3219463	0.011450269259512424	61	34
feature	cave	gxi	50	105054	3475794	0.011129353195428848	67	34
feature	lake	ig	1	82514	3401894	0.2598176896572113	108	40
feature	lake	ig	2	63541	3321651	0.19603243470191956	77	40
feature	lake	ig	3	52226	3225431	0.1720391809940338	87	40
feature	lake	ig	4	58619	3264935	0.1711825132369995	70	40
feature	lake	ig	5	40242	3086093	-0.17036154866218567	73	40
feature	lake	ig	6	10249	2855824	-0.1654365360736847	61	40
feature	lake	ig	7	104978	3475587	0.162649005651474	61	40
feature	lake	ig	8	33622	3028779	0.16032291948795319	66	40
feature	lake	ig	9	103470	3471069	0.16009816527366638	67	40
feature	lake	ig	10	62458	3319630	0.15677835047245026	93	40
feature	lake	ig	11	31889	3023029	-0.15592753887176514	83	40
feature	lake	ig	12	21055	2912828	0.14436602592468262	62	40
feature	lake	ig	13	6972	2827350	0.1404295265674591	76	40
feature	lake	ig	14	8535	2832278	0.13733868300914764	80	40
feature	lake	ig	15	105242	3476150	-0.1328686773777008	84	40
feature	lake	ig	16	38262	3079448	0.13137376308441162	154	40
feature	lake	ig	17	90521	3429922	0.12337009608745575	61	40
feature	lake	ig	18	102573	3466203	0.12222953140735626	155	40
feature	lake	ig	19	41177	3109740	0.11906328052282333	83	40
feature	lake	ig	20	1	2624217	0.1185091882944107	61	40
feature	lake	ig	21	105083	3475885	0.11840744316577911	67	40
feature	lake	ig	22	47966	3191491	-0.11488001048564911	81	40
feature	lake	ig	23	66262	3331369	0.11215958744287491	67	40
feature	lake	ig	24	17771	2900523	0.10884101688861847	125	40
feature	lake	ig	25	42462	3130148	0.10848164558410645	75	40
feature	lake	ig	26	99522	3458410	0.10572974383831024	63	40
feature	lake	ig	27	50013	3218432	0.10466758906841278	62	40
feature	lake	ig	28	0	2624173	0.10269840061664581	61	40
feature	lake	ig	29	38746	3083418	0.10199613869190216	62	40
feature	lake	ig	30	94873	3443115	0.10159382969141006	83	40
feature	lake	ig	31	40792	3108998	-0.09985019266605377	61	40
feature	lake	ig	32	81918	3400329	0.09893675148487091	62	40
feature	lake	ig	33	88705	3423487	-0.0980532094836235	69	40
feature	lake	ig	34	20998	2912664	0.0966111347079277	77	40
feature	lake	ig	35	105054	3475794	-0.09293340891599655	67	40
feature	lake	ig	36	71914	3349692	0.0927235409617424	63	40
feature	lake	ig	37	92590	3434306	0.09194998443126678	61	40
feature	lake	ig	38	64995	3326663	-0.09110163152217865	117	40
feature	lake	ig	39	98049	3453139	0.09047935903072357	73	40
feature	lake	ig	40	52166	3225345	0.08877478539943695	74	40
feature	lake	ig	41	46209	3162820	0.08771075308322906	70	40
feature	lake	ig	42	2317	2811809	-0.08418262004852295	115	40
feature	lake	ig	43	92203	3433694	0.08363224565982819	74	40
feature	lake	ig	44	35918	3055601	-0.08184711635112762	68	40
feature	lake	ig	45	10272	2855883	-0.08106397837400436	72	40
feature	lake	ig	46	56013	3255888	0.0802198201417923	77	40
feature	lake	ig	47	34204	3029524	-0.08002831041812897	69	40
feature	lake	ig	48	19861	2907957	0.07814466953277588	65	40
feature	lake	ig	49	19121	2903989	0.07610341161489487	132	40
feature	lake	ig	50	14405	2867831	0.07486233115196228	105	40
feature	lake	gxi	1	82514	3401894	0.23394246399402618	108	40
feature	lake	gxi	2	63541	3321651	0.17827820777893066	77	40
feature	lake	gxi	3	58619	3264935	0.15699857473373413	70	40
feature	lake	gxi	4	52226	3225431	0.15472207963466644	87	40
feature	lake	gxi	5	104978	3475587	0.15411904454231262	61	40
feature	lake	gxi	6	103470	3471069	0.15068665146827698	67	40
feature	lake	gxi	7	40242	3086093	-0.15062865614891052	73	40
feature	lake	gxi	8	33622	3028779	0.1424354910850525	66	40
feature	lake	gxi	9	10249	2855824	-0.14118823409080505	61	40
feature	lake	gxi	10	62458	3319630	0.13959117233753204	93	40
feature	lake	gxi	11	31889	3023029	-0.13693490624427795	83	40
feature	lake	gxi	12	21055	2912828	0.1322776973247528	62	40
feature	lake	gxi	13	6972	2827350	0.12438978999853134	76	40
feature	lake	gxi	14	8535	2832278	0.12380768358707428	80	40
feature	lake	gxi	15	38262	3079448	0.1174931526184082	154	40
feature	lake	gxi	16	105242	3476150	-0.1169658675789833	84	40
feature	lake	gxi	17	102573	3466203	0.10960699617862701	155	40
feature	lake	gxi	18	90521	3429922	0.1092347502708435	61	40
feature	lake	gxi	19	105083	3475885	0.10868704319000244	67	40
feature	lake	gxi	20	1	2624217	0.1085503101348877	61	40
feature	lake	gxi	21	41177	3109740	0.10769371688365936	83	40
feature	lake	gxi	22	99522	3458410	0.10277696698904037	63	40
feature	lake	gxi	23	47966	3191491	-0.1019522100687027	81	40
feature	lake	gxi	24	66262	3331369	0.09877254068851471	67	40
feature	lake	gxi	25	17771	2900523	0.09804739058017731	125	40
feature	lake	gxi	26	42462	3130148	0.0955670103430748	75	40
feature	lake	gxi	27	0	2624173	0.09481626749038696	61	40
feature	lake	gxi	28	50013	3218432	0.09368249773979187	62	40
feature	lake	gxi	29	38746	3083418	0.09343419969081879	62	40
