task	regime	arm	n_classes	f1_fraction	f1_arm	delta	ci_low	ci_high	frac_boot_positive	verdict
feature	many-shot	frac_plus_clusters	2	0.5781988281988282	0.5408359776780829	-0.03736285052074528	-0.09391435389964828	0.04416986434919882	0.1815	tie
feature	many-shot	seq_encoder	2	0.5781988281988282	0.5359104516464922	-0.04228837655233597	-0.15612461870165076	0.07012304454634807	0.22	tie
feature	many-shot	seq_encoder_shuffled	2	0.5781988281988282	0.4957253599114064	-0.08247346828742175	-0.24520160669084357	0.06629280313908083	0.16	tie
feature	many-shot	attn_pool	2	0.5781988281988282	0.4194511314395763	-0.15874769675925188	-0.3030440354140772	-0.0002949698385471636	0.025	WORSE
feature	many-shot	attn_pool_shuffled	2	0.5781988281988282	0.3730613218802195	-0.20513750631860866	-0.29632523633722463	-0.06946337809896887	0.0045	WORSE
feature	many-shot	dna_max	2	0.5781988281988282	0.46757540130606356	-0.11062342689276461	-0.22499420348798355	0.01993306160621519	0.0425	tie
feature	many-shot	dna_mean	2	0.5781988281988282	0.45856407078960615	-0.11963475740922203	-0.28950181333382546	0.0711122316034243	0.109	tie
feature	many-shot	dna_max_shuffled	2	0.5781988281988282	0.5735528685361462	-0.004645959662681998	-0.10250608744873135	0.11217821457611914	0.4075	tie
feature	many-shot	dna_mean_shuffled	2	0.5781988281988282	0.5368995920515858	-0.0412992361472424	-0.14570542713107415	0.0930897915582339	0.248	tie
feature	many-shot	offlist	2	0.5781988281988282	0.6138935775754725	0.0356947493766443	-0.16319389252363833	0.20348454100132993	0.6295	tie
feature	many-shot	offlist_shuffled	2	0.5781988281988282	0.5791327751196171	0.0009339469207889639	-0.12191103687652588	0.1556476557865941	0.494	tie
sample_host	few-shot	abundance	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4	0.0	0.0	tie
sample_host	few-shot	presence_absence	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4031578947368421	0.0	0.0	tie
sample_host	few-shot	frac_plus_kmer4	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4	0.0	0.0	tie
sample_host	few-shot	frac_plus_clusters	1	0.09523809523809523	0.10526315789473684	0.010025062656641603	0.0	0.05594405594405594	0.431496062992126	tie
sample_host	few-shot	seq_encoder	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4	0.0	0.0	tie
sample_host	few-shot	seq_encoder_shuffled	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4	0.0	0.0	tie
sample_host	few-shot	attn_pool	1	0.09523809523809523	0.0	-0.09523809523809523	-0.4	0.0	0.0	tie
sample_host	few-shot	attn_pool_shuffled	1	0.09523809523809523	0.0	-0.09523809523809523	-0.42857142857142855	0.0	0.0	tie
sample_host	few-shot	dna_max	1	0.09523809523809523	0.11764705882352941	0.022408963585434177	-0.02958532695374801	0.17316017316017318	0.5223802001053186	tie
sample_host	few-shot	dna_mean	1	0.09523809523809523	0.13333333333333333	0.0380952380952381	0.0	0.3	0.5631825273010921	tie
sample_host	few-shot	dna_max_shuffled	1	0.09523809523809523	0.13333333333333333	0.0380952380952381	0.0	0.3	0.5577626764244642	tie
sample_host	few-shot	dna_mean_shuffled	1	0.09523809523809523	0.13333333333333333	0.0380952380952381	0.0	0.30976190476190457	0.5603133159268929	tie
sample_host	few-shot	offlist	1	0.09523809523809523	0.7692307692307693	0.673992673992674	-0.047619047619047616	0.9059810126582263	0.8452631578947368	tie
sample_host	few-shot	offlist_shuffled	1	0.09523809523809523	0.6060606060606061	0.5108225108225108	-0.23333333333333334	0.8571428571428571	0.7246452968996322	tie
sample_host	medium-shot	abundance	3	0.32101984644357523	0.28494053926763213	-0.0360793071759431	-0.14422488374854975	0.05182471673768384	0.15081206496519722	tie
sample_host	medium-shot	presence_absence	3	0.32101984644357523	0.30622063734646515	-0.014799209097110078	-0.05626922569943371	0.008925507636022565	0.08826945412311266	tie
sample_host	medium-shot	frac_plus_kmer4	3	0.32101984644357523	0.24236000706588942	-0.07865983937768581	-0.2588914250626317	0.0368064791710444	0.1888633754305396	tie
sample_host	medium-shot	frac_plus_clusters	3	0.32101984644357523	0.26581875993640697	-0.05520108650716826	-0.2516229740876725	0.031566802751812666	0.2669709070165431	tie
sample_host	medium-shot	seq_encoder	3	0.32101984644357523	0.0	-0.32101984644357523	-0.4907373328425961	-0.14662607813292744	0.0	WORSE
sample_host	medium-shot	seq_encoder_shuffled	3	0.32101984644357523	0.0	-0.32101984644357523	-0.4897360703812317	-0.14662607813292744	0.0	WORSE
sample_host	medium-shot	attn_pool	3	0.32101984644357523	0.058253799929303636	-0.2627660465142716	-0.43497715301387446	-0.09814936373507617	0.0	WORSE
sample_host	medium-shot	attn_pool_shuffled	3	0.32101984644357523	0.042414174972314506	-0.2786056714712607	-0.42306940371456503	-0.11257996778860646	0.0	WORSE
sample_host	medium-shot	dna_max	3	0.32101984644357523	0.29399527186761226	-0.027024574575962967	-0.13870057266283675	0.03139329805996477	0.19248554913294796	tie
sample_host	medium-shot	dna_mean	3	0.32101984644357523	0.2934955050237969	-0.02752434141977833	-0.1351404958677686	0.019291998324256404	0.11875	tie
sample_host	medium-shot	dna_max_shuffled	3	0.32101984644357523	0.26666666666666666	-0.05435317977690857	-0.23185972999945714	0.0077621804073894195	0.18475750577367206	tie
sample_host	medium-shot	dna_mean_shuffled	3	0.32101984644357523	0.2978243978243978	-0.02319544861917744	-0.1750684221155152	0.06613425129087784	0.3110481586402266	tie
sample_host	medium-shot	offlist	3	0.32101984644357523	0.27129519416753456	-0.04972465227604067	-0.31577349714132136	0.13834845507865817	0.3420138888888889	tie
