task	model_a	model_b	f1_a	f1_b	n_scored	delta	ci_low	ci_high	frac_boot_positive	projects_favouring_a	n_projects
feature	DIANA multi-task	kNN	0.4373997817724305	0.3077417299005191	263	0.12965805187191137	0.04728428172977981	0.2196261870587293	0.9995	4	9
feature	DIANA single-task	LinearSVM_Bal	0.5450167386418748	0.35805189425879086	263	0.18696484438308397	0.03631285274591605	0.29495682027796166	0.9895	5	9
feature	DIANA single-task	LogisticRegression_Bal	0.5450167386418748	0.33139854817937003	263	0.2136181904625048	0.04967468132391827	0.34156327093633865	0.9955	5	9
feature	DIANA single-task	MajorityClass	0.5450167386418748	0.07007007007007007	263	0.4749466685718048	0.3139466477622819	0.7710639089965651	1.0	7	9
feature	DIANA single-task	RandomForest	0.5450167386418748	0.4701572285637042	263	0.07485951007817065	0.022064268842808356	0.15991075022366966	0.992	5	9
feature	DIANA single-task	RandomForest_Bal	0.5450167386418748	0.3494972586458094	263	0.19551947999606545	0.014252960773097973	0.30421964470398327	0.9915	5	9
feature	DIANA single-task	kNN	0.5450167386418748	0.3077417299005191	263	0.2372750087413557	0.11675369984394338	0.33802856004133863	1.0	6	9
feature	DIANA multi-task	DIANA single-task	0.4373997817724305	0.5450167386418748	263	-0.10761695686944434	-0.2257849022876584	0.020149926986156745	0.1155	1	9
sample_host	DIANA multi-task	LinearSVM_Bal	0.17844046591889562	0.579685561979808	652	-0.4012450960609124	-0.640103821540775	-0.0566524008349778	0.008	2	25
sample_host	DIANA multi-task	LogisticRegression_Bal	0.17844046591889562	0.5418986498930397	652	-0.3634581839741441	-0.5005416592443287	-0.04492300749083001	0.01	3	25
sample_host	DIANA multi-task	MajorityClass	0.17844046591889562	0.15327257663628832	652	0.025167889282607298	-0.003770971554491399	0.053064785504705926	0.874	1	25
sample_host	DIANA multi-task	RandomForest	0.17844046591889562	0.2571717978292372	652	-0.0787313319103416	-0.18448827958824082	0.04129519868737262	0.25	1	25
sample_host	DIANA multi-task	RandomForest_Bal	0.17844046591889562	0.49773487494836904	652	-0.3192944090294734	-0.4235403152882883	-0.06115137366396188	0.01	3	25
sample_host	DIANA multi-task	kNN	0.17844046591889562	0.5801714706211025	652	-0.4017310047022069	-0.5182837003636951	-0.10496956458799843	0.0045	7	25
sample_host	DIANA single-task	LinearSVM_Bal	0.5511857621086159	0.579685561979808	652	-0.02849979987119211	-0.19916996815566496	0.11294562483016513	0.3335	4	25
sample_host	DIANA single-task	LogisticRegression_Bal	0.5511857621086159	0.5418986498930397	652	0.00928711221557621	-0.11270512959970504	0.17807544336042996	0.5865	8	25
sample_host	DIANA single-task	MajorityClass	0.5511857621086159	0.15327257663628832	652	0.39791318547232757	0.12940509077828802	0.5213713431612053	0.996	5	25
sample_host	DIANA single-task	RandomForest	0.5511857621086159	0.2571717978292372	652	0.2940139642793787	0.10999326918183838	0.3782701881390073	0.999	6	25
sample_host	DIANA single-task	RandomForest_Bal	0.5511857621086159	0.49773487494836904	652	0.053450887160246874	-0.04430468957801649	0.18317027069586375	0.883	5	25
sample_host	DIANA single-task	kNN	0.5511857621086159	0.5801714706211025	652	-0.028985708512486608	-0.07445631323335579	0.06989856564333728	0.3195	9	25
sample_host	DIANA multi-task	DIANA single-task	0.17844046591889562	0.5511857621086159	652	-0.3727452961897203	-0.5040498749643868	-0.0850008683372652	0.0	0	25
material	DIANA multi-task	LinearSVM_Bal	0.47006646085037934	0.48679762438816243	822	-0.01673116353778309	-0.07526611838812634	0.016390938952404736	0.1165	6	31
material	DIANA multi-task	LogisticRegression_Bal	0.47006646085037934	0.4614807687055782	822	0.00858569214480115	-0.06584509968502429	0.0686786862048151	0.525	7	31
material	DIANA multi-task	MajorityClass	0.47006646085037934	0.027762865250402637	822	0.44230359559997673	0.2947214581686887	0.6108956851446775	1.0	13	31
material	DIANA multi-task	RandomForest	0.47006646085037934	0.3393578239575143	822	0.13070863689286505	-0.001859859695440167	0.2195674350997331	0.9725	7	31
material	DIANA multi-task	RandomForest_Bal	0.47006646085037934	0.3504453270058216	822	0.11962113384455775	-0.007588689222971631	0.19519536431284842	0.957	9	31
material	DIANA multi-task	kNN	0.47006646085037934	0.39627726177894684	822	0.0737891990714325	0.00016785913131009414	0.12736098589693995	0.975	14	31
material	DIANA single-task	LinearSVM_Bal	0.4579889115393074	0.48679762438816243	822	-0.028808712848855056	-0.09402445161462208	0.018073651217443046	0.106	6	31
material	DIANA single-task	LogisticRegression_Bal	0.4579889115393074	0.4614807687055782	822	-0.0034918571662708175	-0.06835873516143788	0.05314160839829031	0.4615	8	31
material	DIANA single-task	MajorityClass	0.4579889115393074	0.027762865250402637	822	0.43022604628890476	0.2914654937484618	0.6003082122105488	1.0	15	31
material	DIANA single-task	RandomForest	0.4579889115393074	0.3393578239575143	822	0.11863108758179308	-0.016468447108546575	0.22740638579155956	0.945	8	31
material	DIANA single-task	RandomForest_Bal	0.4579889115393074	0.3504453270058216	822	0.10754358453348578	-0.02401489721001479	0.19675675439688967	0.929	8	31
material	DIANA single-task	kNN	0.4579889115393074	0.39627726177894684	822	0.06171164976036053	-0.014194003987781884	0.13425422621450775	0.9355	13	31
material	DIANA multi-task	DIANA single-task	0.47006646085037934	0.4579889115393074	822	0.012077549311071967	-0.04902598052646221	0.06663283274654708	0.579	8	31
