task	BioProject	project_name	N_total	N_wrong	error_rate	N_conf_wrong	conf_wrong_rate	mean_confidence_on_errors
material	PRJNA339123	Bieker2020	2	0	0.0	0	0.0	
material	PRJNA354503	Philips2017	12	5	0.4167	0	0.0	
material	PRJNA378719	Ahmed2018	2	2	1.0	0	0.0	
material	PRJNA488629	Moore2020	1	0	0.0	0	0.0	
material	PRJNA553005		3	0	0.0	0	0.0	
material	PRJNA573108	Dommain2020	5	0	0.0	0	0.0	
material	PRJNA657304	Witt2021	1	1	1.0	0	0.0	
material	PRJNA680161	Liang2021	2	0	0.0	0	0.0	
material	PRJNA685265	Weyrich2017	1	1	1.0	0	0.0	
material	PRJNA688065	Farrer2021	3	1	0.3333	0	0.0	
material	PRJNA706003		4	4	1.0	0	0.0	
material	PRJNA706195		5	5	1.0	0	0.0	
material	PRJNA739881	Modi2021	1	0	0.0	0	0.0	
material	PRJNA769968		1	1	1.0	0	0.0	
material	PRJNA794308	Perez2022	2	1	0.5	0	0.0	
material	PRJNA836960	Madison2023	11	11	1.0	0	0.0	
material	PRJNA885571	Honap2023	2	0	0.0	0	0.0	
sample_host	PRJEB41665	Rampelli2021	3	3	1.0	3	1.0	1.0
sample_host	PRJEB33363	Brealey2020	5	4	0.8	4	0.8	0.956
sample_host	PRJEB49638	Moraitou2022	20	20	1.0	16	0.8	0.9998
sample_host	PRJEB34569	FellowsYates2021	42	34	0.8095	32	0.7619	0.9962
sample_host	PRJNA994900	Kirdok2024	70	41	0.5857	38	0.5429	0.9999
sample_host	PRJEB11419		10	6	0.6	5	0.5	0.954
sample_host	PRJNA1056444	Austin2024	39	15	0.3846	10	0.2564	0.9831
sample_host	PRJEB24619	Bieker2020	4	1	0.25	1	0.25	0.9963
sample_host	PRJNA354503	Philips2017	12	3	0.25	3	0.25	0.9563
sample_host	PRJNA791766	Quagliariello2022	9	3	0.3333	2	0.2222	0.9996
sample_host	PRJEB34875	Ottoni2019	10	10	1.0	2	0.2	0.9997
sample_host	PRJNA1004851	Murchie2023	8	2	0.25	1	0.125	0.9237
sample_host	PRJNA48479		19	5	0.2632	1	0.0526	0.9062
sample_host	PRJEB61887	Velsko2024	122	25	0.2049	4	0.0328	0.9515
sample_host	PRJDB5315		1	0	0.0	0	0.0	
sample_host	PRJEB11511	Maixner2016	1	0	0.0	0	0.0	
sample_host	PRJEB13329	Seersholm2016	13	0	0.0	0	0.0	
sample_host	PRJEB14494	Pedersen2016	5	0	0.0	0	0.0	
sample_host	PRJEB1799	MGYS00002363	4	4	1.0	0	0.0	
sample_host	PRJEB18629	Slon2017	7	0	0.0	0	0.0	
sample_host	PRJEB18722	Bozzi2024	4	1	0.25	0	0.0	
sample_host	PRJEB30280	Jensen2019	9	0	0.0	0	0.0	
sample_host	PRJEB30331	Velsko2019	14	0	0.0	0	0.0	
sample_host	PRJEB33577	Hagan2019	3	0	0.0	0	0.0	
sample_host	PRJEB33717	Gaffney2020	3	0	0.0	0	0.0	
sample_host	PRJEB33848	Neukamm2020	24	1	0.0417	0	0.0	
sample_host	PRJEB34825	Bieker2020	1	0	0.0	0	0.0	
sample_host	PRJEB35483	Fagernas2020	5	0	0.0	0	0.0	
sample_host	PRJEB37914	Ardelean2020	6	0	0.0	0	0.0	
sample_host	PRJEB39351	Iwanska2022	1	0	0.0	0	0.0	
sample_host	PRJEB40358		5	2	0.4	0	0.0	
sample_host	PRJEB41240	SeguinOrlando2021	18	3	0.1667	0	0.0	
sample_host	PRJEB41420	Gelabert2021	1	1	1.0	0	0.0	
sample_host	PRJEB41539		1	0	0.0	0	0.0	
sample_host	PRJEB42014	Brealey2021	38	0	0.0	0	0.0	
sample_host	PRJEB42399		2	0	0.0	0	0.0	
sample_host	PRJEB43389	Granehall2021	2	0	0.0	0	0.0	
sample_host	PRJEB43506	Courtin2022	3	0	0.0	0	0.0	
sample_host	PRJEB44163		10	0	0.0	0	0.0	
sample_host	PRJEB44313	Ottoni2021	1	0	0.0	0	0.0	
sample_host	PRJEB44723	Sarhan2023	2	0	0.0	0	0.0	
