task	model	params	mean_f1_eligible	n_folds
material	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.4515242837281416	5
material	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.3919532874369339	5
material	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.39976926451452127	5
material	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.4365244376743851	5
material	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.44658183096416304	5
material	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.39543634996856947	5
material	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.4056011470369046	5
material	kNN	"{""n_neighbors"": 1, ""weights"": ""uniform""}"	0.43580765543121397	5
material	kNN	"{""n_neighbors"": 1, ""weights"": ""distance""}"	0.43580765543121397	5
material	kNN	"{""n_neighbors"": 3, ""weights"": ""uniform""}"	0.4263866408356879	5
material	kNN	"{""n_neighbors"": 3, ""weights"": ""distance""}"	0.42857010779332666	5
material	kNN	"{""n_neighbors"": 5, ""weights"": ""uniform""}"	0.4229180637274495	5
material	kNN	"{""n_neighbors"": 5, ""weights"": ""distance""}"	0.4206672805657141	5
material	kNN	"{""n_neighbors"": 10, ""weights"": ""uniform""}"	0.40133977426813494	5
material	kNN	"{""n_neighbors"": 10, ""weights"": ""distance""}"	0.40267366904043644	5
material	kNN	"{""n_neighbors"": 20, ""weights"": ""uniform""}"	0.3614731596512192	5
material	kNN	"{""n_neighbors"": 20, ""weights"": ""distance""}"	0.36150291563724074	5
