target,model,dropped_project,n_dropped,f1_without,f1_full
community_type,LinearSVM_Bal,PRJEB41665,14,0.5615241390992359,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB44723,8,0.5341913618450785,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB55789,2,0.5325222851641638,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB56776,15,0.5299606061775515,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB58818,2,0.5325222851641638,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB67998,19,0.5343618384294999,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB78615,13,0.5356386936015649,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA1056444,39,0.5296602389164521,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA302605,5,0.532129015105791,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA531027,19,0.5310130651239465,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA557308,1,0.5326074474342001,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA608555,15,0.5313789617912009,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA640385,8,0.526704888443304,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA657304,9,0.5284477951427105,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA660212,3,0.5324367357929002,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA685265,20,0.5314903000790225,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA704183,4,0.5323507966750703,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA739881,3,0.5324367357929002,0.5326922252244619
community_type,LinearSVM_Bal,PRJNA994900,70,0.5285860690093571,0.5326922252244619
community_type,RandomForest,PRJEB11511,17,0.4996788137108232,0.4806026954309955
community_type,RandomForest,PRJEB30280,9,0.47966719080296993,0.4806026954309955
community_type,RandomForest,PRJEB30331,76,0.47130264648336945,0.4806026954309955
community_type,RandomForest,PRJEB31971,6,0.45203956045276616,0.4806026954309955
community_type,RandomForest,PRJEB34825,38,0.3507533692887443,0.4806026954309955
community_type,RandomForest,PRJEB41240,238,0.44800883327199115,0.4806026954309955
community_type,RandomForest,PRJEB41665,14,0.5033625140339536,0.4806026954309955
community_type,RandomForest,PRJEB44723,8,0.48191066997518606,0.4806026954309955
community_type,RandomForest,PRJEB55789,2,0.4803980250477745,0.4806026954309955
community_type,RandomForest,PRJEB56776,15,0.4820132953466286,0.4806026954309955
community_type,RandomForest,PRJEB58818,2,0.4803980250477745,0.4806026954309955
community_type,RandomForest,PRJEB67998,19,0.48924523693209576,0.4806026954309955
community_type,RandomForest,PRJEB78615,13,0.4857560108672693,0.4806026954309955
community_type,RandomForest,PRJNA1056444,39,0.47625579240037075,0.4806026954309955
community_type,RandomForest,PRJNA302605,5,0.48254030630698574,0.4806026954309955
community_type,RandomForest,PRJNA531027,19,0.4785823399699594,0.4806026954309955
community_type,RandomForest,PRJNA557308,1,0.4805005861448852,0.4806026954309955
community_type,RandomForest,PRJNA608555,15,0.4790222111505423,0.4806026954309955
community_type,RandomForest,PRJNA640385,8,0.4678141854443991,0.4806026954309955
community_type,RandomForest,PRJNA657304,9,0.4881231593038822,0.4806026954309955
community_type,RandomForest,PRJNA660212,3,0.48029500913426865,0.4806026954309955
community_type,RandomForest,PRJNA685265,20,0.47847110526473147,0.4806026954309955
community_type,RandomForest,PRJNA704183,4,0.4801915353722583,0.4806026954309955
community_type,RandomForest,PRJNA739881,3,0.48029500913426865,0.4806026954309955
community_type,RandomForest,PRJNA994900,70,0.47217070203892497,0.4806026954309955
community_type,RandomForest_Bal,PRJEB11511,17,0.5149275362318841,0.49813036596687643
community_type,RandomForest_Bal,PRJEB30280,9,0.49776584396954426,0.49813036596687643
community_type,RandomForest_Bal,PRJEB30331,76,0.4886897706835562,0.49813036596687643
community_type,RandomForest_Bal,PRJEB31971,6,0.4730022804194466,0.49813036596687643
community_type,RandomForest_Bal,PRJEB34825,38,0.3726629574585956,0.49813036596687643
community_type,RandomForest_Bal,PRJEB41240,238,0.4353167569757431,0.49813036596687643
community_type,RandomForest_Bal,PRJEB41665,14,0.5193962178172704,0.49813036596687643
community_type,RandomForest_Bal,PRJEB44723,8,0.4995443776198287,0.49813036596687643
community_type,RandomForest_Bal,PRJEB55789,2,0.49792324232109814,0.49813036596687643
community_type,RandomForest_Bal,PRJEB56776,15,0.5000775790764667,0.49813036596687643
community_type,RandomForest_Bal,PRJEB58818,2,0.49792324232109814,0.49813036596687643
community_type,RandomForest_Bal,PRJEB67998,19,0.5076032314035709,0.49813036596687643
community_type,RandomForest_Bal,PRJEB78615,13,0.5044967475353067,0.49813036596687643
community_type,RandomForest_Bal,PRJNA1056444,39,0.4937251810741275,0.49813036596687643
community_type,RandomForest_Bal,PRJNA302605,5,0.5005228350905525,0.49813036596687643
community_type,RandomForest_Bal,PRJNA531027,19,0.49608453603106356,0.49813036596687643
community_type,RandomForest_Bal,PRJNA557308,1,0.4980270363453839,0.49813036596687643
community_type,RandomForest_Bal,PRJNA608555,15,0.49653019196737364,0.49813036596687643
community_type,RandomForest_Bal,PRJNA640385,8,0.48938186132306216,0.49813036596687643
