dim	activation_sd	eta2_sample_host	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
51	0.6478102803230286	0.6918531656265259	-0.07773967939390676	4.998502485305353e-05	-0.10281279315920445	7.878748117709511e-08	sample_host	0.6918531656265259	0.10281279315920445	False
52	0.16976632177829742	0.8065345287322998	0.23197834513802792	1.6483312424576138e-34	0.21357941146322243	2.1700254673115662e-29	sample_host	0.8065345287322998	0.23197834513802792	False
53	0.8388082981109619	0.9176592826843262	0.25737157950063666	2.4070369671940608e-42	0.2286710272437977	1.4837594419730146e-33	sample_host	0.9176592826843262	0.25737157950063666	False
54	0.6050150990486145	0.17034225165843964	-0.5305649252736572	4.283365315240109e-197	-0.539913494013948	2.2808234426723727e-205	sample_host	0.17034225165843964	0.539913494013948	True
55	0.8325806856155396	0.4599572718143463	-0.27972544065726884	5.23468404724739e-50	-0.2689665520300806	3.1484974819680648e-46	sample_host	0.4599572718143463	0.27972544065726884	False
56	0.709272027015686	0.7672716975212097	-0.03598066099578435	0.06080851040996749	-0.02845549410301274	0.1381852566560966	sample_host	0.7672716975212097	0.03598066099578435	False
57	0.6864427924156189	0.28506195545196533	-0.21667479374332665	3.21619428013035e-30	-0.23886363302997973	1.5198918726150182e-36	sample_host	0.28506195545196533	0.23886363302997973	False
58	0.31603819131851196	0.34336063265800476	-0.2523477782853398	1.009084691172774e-40	-0.2893674300031375	1.53285440921342e-53	sample_host	0.34336063265800476	0.2893674300031375	False
59	0.30864083766937256	0.8968670964241028	-0.2744549869469858	3.9045327981103564e-48	-0.33140770956444604	1.251803218890693e-70	sample_host	0.8968670964241028	0.33140770956444604	False
60	0.291280061006546	0.30084675550460815	-0.053363733014861615	0.005406391451189776	-0.05718318491432441	0.0028713622798388436	sample_host	0.30084675550460815	0.05718318491432441	False
61	0.7276275157928467	0.6411623358726501	0.4335113783062639	7.314857556800378e-125	0.5057201860994448	2.517036525534453e-176	sample_host	0.6411623358726501	0.5057201860994448	False
62	0.4587264060974121	0.742676317691803	0.06591159700970942	0.0005878559115584795	-0.012533029682961895	0.5138291113214645	sample_host	0.742676317691803	0.06591159700970942	False
63	0.4153764545917511	0.5191556215286255	-0.02450109739590092	0.20178419546056414	-0.06247944458532577	0.0011227298325500094	sample_host	0.5191556215286255	0.06247944458532577	False
64	0.551676869392395	0.9155866503715515	0.20827007525958002	5.3537219699714965e-28	0.21363247834773327	2.1006761011974186e-29	sample_host	0.9155866503715515	0.21363247834773327	False
65	0.2598993480205536	0.6388962864875793	0.2565210522659385	4.557227313769871e-42	0.2734072933932347	9.097709330766819e-48	sample_host	0.6388962864875793	0.2734072933932347	False
66	0.2682155668735504	0.6334937810897827	0.5977969930332953	6.597126666615295e-263	0.6157348827631842	3.1468977860811263e-283	sample_host	0.6334937810897827	0.6157348827631842	False
67	0.43103763461112976	0.3658115863800049	-0.4540429303643415	2.942802380384053e-138	-0.519856192596711	6.246943589953526e-188	sample_host	0.3658115863800049	0.519856192596711	False
68	0.3753288984298706	0.7759261131286621	-0.06800053044639708	0.00039062326937403387	-0.15905117881005731	7.536135935959307e-17	sample_host	0.7759261131286621	0.15905117881005731	False
69	0.7245533466339111	0.8665813207626343	0.40607200202146865	2.3917200190233686e-108	0.40879264217959743	6.445090107038452e-110	sample_host	0.8665813207626343	0.40879264217959743	False
70	0.4717727303504944	0.2758151888847351	0.4053266578800815	6.399409714152132e-108	0.42582246176905963	4.442813260478001e-120	sample_host	0.2758151888847351	0.42582246176905963	False
71	0.646453320980072	0.22418645024299622	-0.4328486507872312	1.911626133341715e-124	-0.4427515825421538	8.902433386913271e-131	sample_host	0.22418645024299622	0.4427515825421538	False
72	1.0372003316879272	0.5099637508392334	0.3574201969301601	1.2055376294288254e-82	0.3193969349170496	1.8446123240411978e-65	sample_host	0.5099637508392334	0.3574201969301601	False
73	0.4709387719631195	0.8643149733543396	-0.22456437754152822	2.1648833710924842e-32	-0.2515772970635592	1.7765240681789316e-40	sample_host	0.8643149733543396	0.2515772970635592	False
74	0.7593202590942383	0.7137947082519531	-0.0826112298545779	1.6274355755676244e-05	-0.03853634532495969	0.04462704287272644	sample_host	0.7137947082519531	0.0826112298545779	False
75	0.7669798731803894	0.7560524344444275	0.03269253235847757	0.08848375011301554	0.08107330105749405	2.3350893128987595e-05	sample_host	0.7560524344444275	0.08107330105749405	False
76	0.5978811979293823	0.9357361793518066	0.3887048122007249	1.145107705819234e-98	0.3743865328676202	4.0919207446588025e-91	sample_host	0.9357361793518066	0.3887048122007249	False
77	0.27702099084854126	0.5668654441833496	-0.32880303766229474	1.731118740868628e-69	-0.395373467926689	2.5722659443875986e-102	sample_host	0.5668654441833496	0.395373467926689	False
78	0.8875596523284912	0.9080475568771362	0.028793270508719025	0.1335654657570162	0.03524770186590044	0.0662589035295451	sample_host	0.9080475568771362	0.03524770186590044	False
79	0.45986536145210266	0.6526637077331543	-0.020922005155221565	0.2757250184832441	-0.0030257524263036795	0.8747596812284785	sample_host	0.6526637077331543	0.020922005155221565	False
80	0.3792378306388855	0.518010139465332	-0.24984291714224102	6.301390443927948e-40	-0.2463949162750396	7.584544744676792e-39	sample_host	0.518010139465332	0.24984291714224102	False
81	0.7109428644180298	0.9397492408752441	-0.17934561193507503	4.562549795796388e-21	-0.2334664860468188	6.063541995380955e-35	sample_host	0.9397492408752441	0.2334664860468188	False
82	0.33808690309524536	0.10285615175962448	-0.16796674147934493	1.2262986301189688e-18	-0.09421651866436415	8.707537648204715e-07	sample_host	0.10285615175962448	0.16796674147934493	False
83	0.4060227870941162	0.2284318208694458	-0.5391439194735298	1.119590900492094e-204	-0.6152005000535176	1.3252902427610322e-282	sample_host	0.2284318208694458	0.6152005000535176	True
84	0.6209325194358826	0.9386996626853943	0.2590853927325819	6.6028818424686425e-43	0.2911841619404103	3.1917863407647676e-54	sample_host	0.9386996626853943	0.2911841619404103	False
85	0.17244012653827667	0.5423781871795654	0.523023632187945	1.3161503733339405e-190	0.5918414636673973	1.9294570013746027e-256	sample_host	0.5423781871795654	0.5918414636673973	False
86	0.5928504467010498	0.8904396295547485	-0.039088884116961466	0.04165325463050668	-0.12165319164219214	2.0082882430193663e-10	sample_host	0.8904396295547485	0.12165319164219214	False
87	0.694917619228363	0.3326941430568695	0.45251851645868946	3.1280963083428674e-137	0.5213217189302946	3.638141504519368e-189	sample_host	0.3326941430568695	0.5213217189302946	False
88	0.2739250659942627	0.07741130888462067	-0.5350457826169046	4.995566143630924e-201	-0.6099591357499745	1.5265098046668852e-276	sample_host	0.07741130888462067	0.6099591357499745	True
89	0.6713630557060242	0.6458635926246643	0.5173716920489577	7.50287247986397e-186	0.5684892619984184	2.410532980631565e-232	sample_host	0.6458635926246643	0.5684892619984184	False
90	0.6606091260910034	0.25372186303138733	-0.32956352385723736	8.06123231547763e-70	-0.2832237476745138	2.838232586036619e-51	sample_host	0.25372186303138733	0.32956352385723736	False
91	0.4755862057209015	0.8541165590286255	0.3588141133039889	2.538416340984264e-83	0.28953977847604284	1.3214998062229537e-53	sample_host	0.8541165590286255	0.3588141133039889	False
92	1.088202714920044	0.5938215255737305	0.4363971911692439	1.0880769846801475e-126	0.49738289084670584	9.853527084224101e-170	sample_host	0.5938215255737305	0.49738289084670584	False
93	0.40682265162467957	0.7063508033752441	0.4216352815154332	1.587931351424688e-117	0.45736056682743853	1.646549505227638e-140	sample_host	0.7063508033752441	0.45736056682743853	False
94	0.4703814387321472	0.8920338749885559	0.3092866565847656	2.7324786801465126e-61	0.3283452930241625	2.7394252666098357e-69	sample_host	0.8920338749885559	0.3283452930241625	False
95	0.32064563035964966	0.8103138208389282	0.4407191349207615	1.8461728975959684e-129	0.4607013051422339	8.382655253975303e-143	sample_host	0.8103138208389282	0.4607013051422339	False
96	0.49797600507736206	0.7652042508125305	-0.027779430253121556	0.14780032050503686	-0.027289290289816425	0.15508476561180642	sample_host	0.7652042508125305	0.027779430253121556	False
97	0.8477423787117004	0.4258618950843811	-0.330050993526609	4.9333187721650505e-70	-0.31386859921633126	3.6861189264443216e-63	sample_host	0.4258618950843811	0.330050993526609	False
98	0.5806472301483154	0.7345121502876282	0.3819878576828321	4.4595473843189964e-95	0.40349115225962395	7.146554126461416e-107	sample_host	0.7345121502876282	0.40349115225962395	False
99	0.565291166305542	0.7849313616752625	0.026207591906963774	0.17212071563325554	-0.08152409089687132	2.1019656229759785e-05	sample_host	0.7849313616752625	0.08152409089687132	False
100	0.5834632515907288	0.581863522529602	-0.16226461775215903	1.7541308944811218e-17	-0.1683346818160946	1.0294929833950333e-18	sample_host	0.581863522529602	0.1683346818160946	False
101	0.4748985767364502	0.8367701768875122	0.14837432029030106	7.721930995806668e-15	0.07308231372777552	0.00013781985201110063	sample_host	0.8367701768875122	0.14837432029030106	False
102	0.6341208815574646	0.4785887598991394	-0.06271089720664194	0.0010758219742103036	-0.07967802993123198	3.222565983983567e-05	sample_host	0.4785887598991394	0.07967802993123198	False
103	1.0940285921096802	0.35211578011512756	0.7085309673747952	0.0	0.7201018494022408	0.0	sample_host	0.35211578011512756	0.7201018494022408	True
104	0.6349987387657166	0.8758496046066284	0.3625611172331819	3.705597277901405e-85	0.3188887662398259	3.015955353245515e-65	sample_host	0.8758496046066284	0.3625611172331819	False
105	0.554999589920044	0.5830546617507935	0.16879985018880622	8.247621933996039e-19	0.1442853014396581	4.170287900257414e-14	sample_host	0.5830546617507935	0.16879985018880622	False
106	0.7770663499832153	0.8369259238243103	0.27051362997905765	9.229289811882836e-47	0.28857577656708483	3.0261344153416457e-53	sample_host	0.8369259238243103	0.28857577656708483	False
107	0.7738279700279236	0.3793996572494507	0.4213496287621495	2.364265441937892e-117	0.48207086042230907	4.320234232438529e-158	sample_host	0.3793996572494507	0.48207086042230907	False
108	0.7346133589744568	0.7669255137443542	0.41147342517152224	1.7717485460039688e-111	0.4364345175837155	1.0301606418875184e-126	sample_host	0.7669255137443542	0.4364345175837155	False
109	0.908113956451416	0.9102482795715332	0.022957765506499864	0.2316744300138506	0.039774580376837135	0.03819755913358614	sample_host	0.9102482795715332	0.039774580376837135	False
110	0.34222742915153503	0.16966690123081207	-0.3422189725382099	1.7470034657102733e-75	-0.38544046529106507	6.520161783893932e-97	sample_host	0.16966690123081207	0.38544046529106507	False
111	0.5172093510627747	0.8956502676010132	-0.009762004265849581	0.6110836114485356	-0.05197639148885818	0.006741570591018641	sample_host	0.8956502676010132	0.05197639148885818	False
112	0.6773841381072998	0.8435484170913696	0.1428585379661066	7.42788235109367e-14	0.09292264901924262	1.2286728851829985e-06	sample_host	0.8435484170913696	0.1428585379661066	False
113	0.6442350745201111	0.5189735889434814	-0.16034809660404764	4.1995612432359707e-17	-0.2341953065366678	3.70596612748055e-35	sample_host	0.5189735889434814	0.2341953065366678	False
114	0.2922087013721466	0.22462594509124756	-0.23328575847553784	6.84913079267993e-35	-0.2331418100738105	7.546488352399503e-35	sample_host	0.22462594509124756	0.23328575847553784	False
115	0.7809226512908936	0.40321213006973267	0.18881825141998748	3.234973971855064e-23	0.2531198949794671	5.713667929214708e-41	sample_host	0.40321213006973267	0.2531198949794671	False
116	0.4723777770996094	0.9235840439796448	0.3555026539047619	1.0149320383398308e-81	0.27104536024187925	6.042107428548654e-47	sample_host	0.9235840439796448	0.3555026539047619	False
