model,split,task,accuracy,balanced_accuracy,f1_macro_seen
LinearSVM_Bal,test,community_type,0.6328871892925431,0.7761899323031275,0.6453535904875921
LinearSVM_Bal,test,sample_host,0.875717017208413,0.8360094814171461,0.824387976104634
LinearSVM_Bal,test,material,0.7074569789674953,0.547940976141144,0.5609298181035015
LinearSVM_Bal,val,sample_type,0.7527777777777778,0.5294703305455993,0.5189116953708014
LinearSVM_Bal,val,community_type,0.6305555555555555,0.5394377240143369,0.5170230981327211
LinearSVM_Bal,val,sample_host,0.6888888888888889,0.6907339250920113,0.7127012979635889
LinearSVM_Bal,val,material,0.36666666666666664,0.18445821113976985,0.18224336544680636
RidgeClassifier,test,sample_type,0.9177820267686424,0.5745825602968461,0.5873956517750665
RidgeClassifier,test,community_type,0.4894837476099426,0.6318695283276408,0.571418930745212
RidgeClassifier,test,sample_host,0.7552581261950286,0.6462449245467377,0.7020379936868774
RidgeClassifier,test,material,0.6252390057361377,0.48502634400219713,0.4831283684136388
RidgeClassifier,val,sample_type,0.6694444444444444,0.5589406610911987,0.5542653806536193
RidgeClassifier,val,community_type,0.5055555555555555,0.4470430107526882,0.4155578845257089
RidgeClassifier,val,sample_host,0.5694444444444444,0.4780796709244425,0.5378165801478685
RidgeClassifier,val,material,0.275,0.14577549896487596,0.1410127768243618
RandomForest,test,sample_type,0.9502868068833652,0.6343228200371057,0.691571402649247
RandomForest,test,community_type,0.6539196940726577,0.7287747345868257,0.646647178437324
RandomForest,test,sample_host,0.847036328871893,0.6505933485325517,0.7231677782092899
RandomForest,test,material,0.6481835564053537,0.48521269426080166,0.4990346987384192
RandomForest,val,sample_type,0.8638888888888889,0.7062923138191955,0.7499681081770635
RandomForest,val,community_type,0.7361111111111112,0.6318212365591398,0.5993143448463851
RandomForest,val,sample_host,0.8388888888888889,0.8196579346178827,0.766306968201125
RandomForest,val,material,0.5333333333333333,0.38985741835084103,0.31836121529176403
RandomForest_Bal,test,sample_type,0.9273422562141491,0.6079468150896723,0.6289949223416965
RandomForest_Bal,test,community_type,0.6577437858508605,0.694786879052057,0.6329789007752462
RandomForest_Bal,test,sample_host,0.8240917782026769,0.5796190062606303,0.6194945803177171
RandomForest_Bal,test,material,0.6233269598470363,0.4534245646671062,0.4582117763284952
RandomForest_Bal,val,sample_type,0.8527777777777777,0.6728395061728395,0.7135092118500278
RandomForest_Bal,val,community_type,0.7222222222222222,0.619298835125448,0.5645299427242162
RandomForest_Bal,val,sample_host,0.825,0.8304286642130332,0.7578991100518225
RandomForest_Bal,val,material,0.49444444444444446,0.34929649374921157,0.24803627199743453
RidgeClassifier_Bal,test,sample_type,0.904397705544933,0.5391774891774892,0.5436618735166829
RidgeClassifier_Bal,test,community_type,0.491395793499044,0.6023724296816058,0.5411417004247774
RidgeClassifier_Bal,test,sample_host,0.7648183556405354,0.6524372308471754,0.6972906052251395
RidgeClassifier_Bal,test,material,0.6367112810707457,0.48481966825827544,0.49071271633391
RidgeClassifier_Bal,val,sample_type,0.6861111111111111,0.4908403026682596,0.4849002849002849
RidgeClassifier_Bal,val,community_type,0.5611111111111111,0.5217069892473118,0.47756190011584637
RidgeClassifier_Bal,val,sample_host,0.6361111111111111,0.5822147651006712,0.6490554899645808
RidgeClassifier_Bal,val,material,0.29444444444444445,0.15218138635860157,0.14446308745639458
