archive_accession	Run_accession	sample_type	status	sample_name	project_name	publication_year	geo_loc_name	material	sample_host	community_type	total_runs_for_sample	available_runs_for_sample	unavailable_runs_for_sample	unitig_size_gb	Assay Type	BioProject	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA Study	Type	Isolation source	Avg_read_len	Avg_num_reads	seqstats_contigs_n50	seqstats_contigs_nbseq	seqstats_contigs_maxlen	seqstats_contigs_sumlen	seqstats_unitigs_n50	seqstats_unitigs_maxlen	seqstats_unitigs_sumlen	size_contigs_after_compression	size_contigs_before_compression	size_unitigs_before_compression	size_unitigs_after_compression	sample_title	scientific_name	library_strategy	library_source	isolation_source
	ERR3579824	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.4202542183920741	WGS	PRJEB34569	SAMEA5971647	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	ERX3577123	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	0.0	35364677.0												Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579825	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.5379987694323063	WGS	PRJEB34569	SAMEA5971648	MPI SCIENCE OF HUMAN HIST	public	sra,fastq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	ERX3577124	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	48.28	33357115.0		0.0		0.0	50.0	1542.0	1485163170.0			2104862695.0	638814152.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579826	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.649537711404264	WGS	PRJEB34569	SAMEA5971649	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	ERX3577125	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	47.84	19131370.0	281.0	562681.0	23873.0	107715279.0	49.0	921.0	1044342888.0	40572432.0	140016821.0	2479003052.0	666229313.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR450705	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000529456883668	AMPLICON	PRJEB5758	SAMEA2393191	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417077		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	38.92	12457.0	40.0	33.0	88.0	1385.0	36.0	100.0	114432.0	822.0	3148.0	283105.0	50550.0	2H01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450719	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001828884705901	AMPLICON	PRJEB5758	SAMEA2393205	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417091		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	37.78	46671.0	52.0	33.0	244.0	1980.0	36.0	244.0	378325.0	1075.0	3652.0	965633.0	172641.0	13F05.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450774	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001968368887901	AMPLICON	PRJEB5758	SAMEA2393260	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417146		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.61	95567.0	377.0	12.0	741.0	4290.0	38.0	617.0	387539.0	1462.0	4640.0	992288.0	182984.0	13C06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450847	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000726003199815	AMPLICON	PRJEB5758	SAMEA2393333	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417219		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	37.6	13393.0	33.0	257.0	84.0	9251.0	35.0	137.0	154479.0	4402.0	22660.0	385342.0	68605.0	14C02.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450893	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000399956479668	AMPLICON	PRJEB5758	SAMEA2393379	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417265		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.69	15028.0	48.0	23.0	83.0	1077.0	38.0	106.0	85566.0	698.0	2109.0	208326.0	37741.0	13F10.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450898	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000709183514118	AMPLICON	PRJEB5758	SAMEA2393384	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417270		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.92	91151.0	46.0	211.0	883.0	11341.0	38.0	669.0	152910.0	5110.0	21824.0	390516.0	68293.0	2G04.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450906	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001143254339694	AMPLICON	PRJEB5758	SAMEA2393392	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417278		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.43	48783.0	170.0	3.0	204.0	538.0	38.0	204.0	230604.0	320.0	625.0	585520.0	106334.0	13C02.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
