task	fold	tau	n	f1
sample_host	4	0.1	444	0.4941588785046729
sample_host	4	0.2	444	0.4941588785046729
sample_host	4	0.3	444	0.4941588785046729
sample_host	4	0.4	444	0.4941588785046729
sample_host	4	0.5	444	0.4941588785046729
sample_host	4	0.6	444	0.4941588785046729
sample_host	4	0.7	444	0.4941588785046729
sample_host	4	0.8	444	0.4941588785046729
sample_host	4	0.9	444	0.4941588785046729
sample_host	4	1.0	444	0.4941588785046729
material	0	0.0	659	0.6065729816710117
material	0	0.1	659	0.6065729816710117
material	0	0.2	659	0.604699282850748
material	0	0.3	659	0.604699282850748
material	0	0.4	659	0.604699282850748
material	0	0.5	659	0.604699282850748
material	0	0.6	659	0.6048869722027024
material	0	0.7	659	0.5951662277562602
material	0	0.8	659	0.5951662277562602
material	0	0.9	659	0.5951662277562602
material	0	1.0	659	0.5951662277562602
material	1	0.0	291	0.3047995614827917
material	1	0.1	291	0.3047995614827917
material	1	0.2	291	0.3047995614827917
material	1	0.3	291	0.3047995614827917
material	1	0.4	291	0.3047995614827917
material	1	0.5	291	0.3047995614827917
material	1	0.6	291	0.3047995614827917
material	1	0.7	291	0.3011230908945564
material	1	0.8	291	0.2949311404301601
material	1	0.9	291	0.2849765916589778
material	1	1.0	291	0.2849765916589778
material	2	0.0	690	0.3714965976580148
material	2	0.1	690	0.38014300477544616
material	2	0.2	690	0.3871798096956954
material	2	0.3	690	0.3909052913151897
material	2	0.4	690	0.3899131053256836
material	2	0.5	690	0.3952504789924706
material	2	0.6	690	0.3985564665107163
material	2	0.7	690	0.4070427181345492
material	2	0.8	690	0.40861582074837577
material	2	0.9	690	0.40695287097402905
material	2	1.0	690	0.4057299939365205
material	3	0.0	510	0.25668912968564533
material	3	0.1	510	0.25668912968564533
material	3	0.2	510	0.25668912968564533
material	3	0.3	510	0.25731707317073166
material	3	0.4	510	0.25731707317073166
material	3	0.5	510	0.25536902122267974
material	3	0.6	510	0.25536902122267974
material	3	0.7	510	0.25665262134348915
material	3	0.8	510	0.25815638074198544
material	3	0.9	510	0.25882083256922794
material	3	1.0	510	0.25950110467807147
