dim	activation_sd	eta2_feature	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
93	0.6646522283554077	0.8181002140045166	0.5777955250052739	1.0287567050427418e-241	0.5338894986098702	5.238690543584197e-200	feature	0.8181002140045166	0.5777955250052739	False
94	0.37026354670524597	0.7001396417617798	0.575499029506757	2.251765156119217e-239	0.5536347467009404	5.393226590622888e-218	feature	0.7001396417617798	0.575499029506757	False
95	0.49488943815231323	0.7647418975830078	0.4313609551584458	1.6388775176282423e-123	0.339022383786141	4.990705403620277e-74	feature	0.7647418975830078	0.4313609551584458	False
96	0.8788489699363708	0.7066850662231445	0.701296155398743	0.0	0.6456334475872489	3.5177e-320	feature	0.7066850662231445	0.701296155398743	False
97	0.24155226349830627	0.7782321572303772	-0.4880180611450313	1.527662933954553e-162	-0.4976730003894119	5.851219379351394e-170	feature	0.7782321572303772	0.4976730003894119	False
98	0.41118791699409485	0.7880862951278687	-0.33075400925285714	2.4259995160804715e-70	-0.2807353899483361	2.2663337757602426e-50	feature	0.7880862951278687	0.33075400925285714	False
99	0.7234030365943909	0.7706553339958191	0.7189631732383089	0.0	0.7065855025665686	0.0	feature	0.7706553339958191	0.7189631732383089	False
100	0.596839964389801	0.6606520414352417	0.7409622743877369	0.0	0.7603221341456764	0.0	feature	0.6606520414352417	0.7603221341456764	False
101	0.23030789196491241	0.7323184609413147	0.0061813131935648915	0.747456096938897	-0.06058585633097374	0.0015836800183078286	feature	0.7323184609413147	0.06058585633097374	False
102	0.25043103098869324	0.7192063331604004	-0.362097452012924	6.271226537317807e-85	-0.46255448179239295	4.3676256757932306e-144	feature	0.7192063331604004	0.46255448179239295	False
103	0.6482198238372803	0.7488607168197632	0.4703358973065735	1.4626194752911668e-149	0.38341921526745826	7.784326736999601e-96	feature	0.7488607168197632	0.4703358973065735	False
104	0.17399641871452332	0.706517219543457	-0.7570830718647653	0.0	-0.7482978261331272	0.0	feature	0.706517219543457	0.7570830718647653	False
105	0.35320547223091125	0.8882870078086853	-0.13327651994029532	3.0877054671404967e-12	-0.14727756648219797	1.2195899061779608e-14	feature	0.8882870078086853	0.14727756648219797	False
106	0.3316681683063507	0.7133919596672058	0.47935876071089284	4.329952507906283e-156	0.39005965793325315	2.1105764565816217e-99	feature	0.7133919596672058	0.47935876071089284	False
107	0.27347931265830994	0.7336003184318542	-0.6013616040974905	7.65038726336358e-267	-0.7135329997674061	0.0	feature	0.7336003184318542	0.7135329997674061	False
108	0.7421190142631531	0.766878068447113	0.7607523692578733	0.0	0.7609146408143022	0.0	feature	0.766878068447113	0.7609146408143022	False
109	0.21965675055980682	0.7784855961799622	-0.6720612321407021	0.0	-0.6231747124872393	4.763606978961972e-292	feature	0.7784855961799622	0.6720612321407021	False
110	0.4738583564758301	0.7459359169006348	0.14049388175016297	1.9091165122661414e-13	0.10194920832161704	1.0120809157619119e-07	feature	0.7459359169006348	0.14049388175016297	False
111	0.25762873888015747	0.750890851020813	-0.43812701711117147	8.563587820454191e-128	-0.4495310356097673	3.1039192520483963e-135	feature	0.750890851020813	0.4495310356097673	False
112	0.3653309643268585	0.6014084219932556	0.6907747988231352	0.0	0.7088182063201915	0.0	feature	0.6014084219932556	0.7088182063201915	False
113	0.36405789852142334	0.8122812509536743	0.1508894452061949	2.6724071493134915e-15	0.0806666424184946	2.5663084350393733e-05	feature	0.8122812509536743	0.1508894452061949	False
114	0.32464149594306946	0.5774862766265869	0.08476154117108334	9.720560437902387e-06	0.014164061604592508	0.46059896986120585	feature	0.5774862766265869	0.08476154117108334	False
115	0.12173637747764587	0.8955757021903992	-0.38982456390381826	2.8319829124478e-99	-0.37752237419377516	9.772428955297212e-93	feature	0.8955757021903992	0.38982456390381826	False
116	0.17247477173805237	0.8705868124961853	-0.618396980626269	2.339976268650449e-286	-0.5968698476062759	6.837778918146738e-262	feature	0.8705868124961853	0.618396980626269	False
117	0.253775417804718	0.7439736127853394	0.4887420581601055	4.3259641826465516e-163	0.40665359349529	1.1077169045723412e-108	feature	0.7439736127853394	0.4887420581601055	False
118	0.7564241290092468	0.7731073498725891	0.5193514861332952	1.6577243995674133e-187	0.4676866519397768	1.109486775981882e-147	feature	0.7731073498725891	0.5193514861332952	False
119	0.588087260723114	0.6349668502807617	0.6737072007726801	0.0	0.6758644718183958	0.0	feature	0.6349668502807617	0.6758644718183958	False
120	0.2723732590675354	0.7560088038444519	-0.11367565315586534	2.836793503648924e-09	-0.1942768539255936	1.6534056380316302e-24	feature	0.7560088038444519	0.1942768539255936	False
121	0.4830349087715149	0.7526923418045044	0.5240864134828521	1.640298830795865e-191	0.4796728525303265	2.5448959651956826e-156	feature	0.7526923418045044	0.5240864134828521	False
122	0.43541231751441956	0.7357451319694519	0.6535985338113653	0.0	0.6662566457957243	0.0	feature	0.7357451319694519	0.6662566457957243	False
123	0.37667837738990784	0.7946467995643616	-0.6079560489304326	2.953046621389714e-274	-0.5849473141149897	4.016773533601688e-249	feature	0.7946467995643616	0.6079560489304326	False
124	0.4050582945346832	0.7599374651908875	0.21195439654103507	5.842244759344094e-29	0.09394452071161355	9.364714473552074e-07	feature	0.7599374651908875	0.21195439654103507	False
125	0.337864488363266	0.7331627607345581	-0.5091531898957347	4.29140666449275e-179	-0.5431553625765115	2.676610575281069e-208	feature	0.7331627607345581	0.5431553625765115	False
126	0.2839130163192749	0.7657489776611328	-0.26392871065608875	1.6192474553134484e-44	-0.21495757578276078	9.309069237684477e-30	feature	0.7657489776611328	0.26392871065608875	False
127	0.27988243103027344	0.8461719751358032	-0.6662432732823055	0.0	-0.6093005452349068	8.655730904686836e-276	feature	0.8461719751358032	0.6662432732823055	False
128	0.16594742238521576	0.6482263207435608	0.5455889633530933	1.608939113299994e-210	0.675670244565182	0.0	feature	0.6482263207435608	0.675670244565182	False
129	0.20761877298355103	0.8576069474220276	-0.16246927036857306	1.5969909819878963e-17	-0.03648056806743887	0.057308336697242855	feature	0.8576069474220276	0.16246927036857306	False
130	0.260902464389801	0.8534210324287415	-0.4905659502775552	1.7776325376242234e-164	-0.4267618969346575	1.1744822164929867e-120	feature	0.8534210324287415	0.4905659502775552	False
131	0.47648894786834717	0.7192269563674927	0.5313525329798171	8.804844763413006e-198	0.4999302192480264	9.969371635186497e-172	feature	0.7192269563674927	0.5313525329798171	False
132	0.2779556214809418	0.6724234819412231	0.07966137977524428	3.23487679622205e-05	0.01444659923778753	0.4517017859326521	feature	0.6724234819412231	0.07966137977524428	False
133	0.1623147875070572	0.5290999412536621	0.8432670527785929	0.0	0.8544282098783466	0.0	feature	0.5290999412536621	0.8544282098783466	True
134	0.4311826229095459	0.857033371925354	-0.4516873534530367	1.1292132290487137e-136	-0.4663950047837591	9.030746038530953e-147	feature	0.857033371925354	0.4663950047837591	False
135	0.2588723599910736	0.7426367402076721	-0.5177076087422516	3.936127181129735e-186	-0.6184541999469386	2.0027775050360253e-286	feature	0.7426367402076721	0.6184541999469386	False
136	0.26431190967559814	0.7323530912399292	-0.7117884810700188	0.0	-0.7380349209273298	0.0	feature	0.7323530912399292	0.7380349209273298	False
137	0.03057190030813217	0.5863006711006165	-0.3064877750291806	3.652209952457522e-60	-0.24154930302977018	2.3446294159259466e-37	feature	0.5863006711006165	0.3064877750291806	False
138	0.1379217654466629	0.9003408551216125	-0.3570569519805502	1.8069484503328805e-82	-0.23685837066743967	6.044229883693347e-36	feature	0.9003408551216125	0.3570569519805502	False
139	0.40364062786102295	0.7079945206642151	-0.6757412807223463	0.0	-0.7407155988435821	0.0	feature	0.7079945206642151	0.7407155988435821	False
140	0.45035889744758606	0.8714600801467896	-0.3080266785939934	8.809931190775986e-61	-0.34207532623702824	2.0327565124117704e-75	feature	0.8714600801467896	0.34207532623702824	False
141	0.6246261596679688	0.7049645781517029	0.6792952585911963	0.0	0.6680199808215991	0.0	feature	0.7049645781517029	0.6792952585911963	False
142	0.07952938228845596	0.5546550154685974	0.476252528816367	8.057383253077064e-154	0.5886666268924611	4.759736539322599e-253	feature	0.5546550154685974	0.5886666268924611	False
143	0.4293800890445709	0.7142741680145264	0.3667589340704539	3.039895637222441e-87	0.40018203582501777	5.330771773840877e-105	feature	0.7142741680145264	0.40018203582501777	False
144	0.2034713178873062	0.7736695408821106	-0.5248300986493678	3.803307953317374e-192	-0.5206444171309226	1.3561146439891621e-188	feature	0.7736695408821106	0.5248300986493678	False
145	0.4770917594432831	0.7378466129302979	0.6739039127836779	0.0	0.6362934348615016	3.3894756195843786e-308	feature	0.7378466129302979	0.6739039127836779	False
146	0.24247990548610687	0.8429067730903625	0.016619644239784265	0.3866008858131583	0.08286063710284301	1.5339754223009615e-05	feature	0.8429067730903625	0.08286063710284301	False
147	0.3055593967437744	0.8126154541969299	0.32352820885767974	3.2704834959739234e-67	0.3780730006984222	5.050736019936436e-93	feature	0.8126154541969299	0.3780730006984222	False
148	0.21794842183589935	0.7502523064613342	-0.5883518594796971	1.0276522855421832e-252	-0.5287705057057644	1.5501256871031886e-195	feature	0.7502523064613342	0.5883518594796971	False
