dim	activation_sd	eta2_community_type	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
21	0.22946031391620636	0.6772981286048889	-0.2528701087127757	6.869396565587072e-41	-0.2925304931167821	9.903258537659783e-55	community_type	0.6772981286048889	0.2925304931167821	False
22	0.3366721272468567	0.10758458077907562	-0.5611829620640618	3.397337006679279e-225	-0.6585506419088252	0.0	community_type	0.10758458077907562	0.6585506419088252	True
23	0.05935831740498543	0.4426477253437042	-0.1365653148002051	8.845679900740389e-13	-0.15997460805865685	4.972241045943592e-17	community_type	0.4426477253437042	0.15997460805865685	False
24	0.17874619364738464	0.048176392912864685	-0.06790786206197971	0.0003978663200253234	-0.12331416535328277	1.1317519264157495e-10	community_type	0.048176392912864685	0.12331416535328277	False
25	0.15215890109539032	0.048393361270427704	0.027000068328916396	0.1595091886177569	0.024488644426004243	0.2020135623110293	community_type	0.048393361270427704	0.027000068328916396	False
26	0.26582440733909607	0.04557826370000839	-0.4692641956861522	8.465300721649852e-149	-0.5295378427208531	3.3498710492875105e-196	community_type	0.04557826370000839	0.5295378427208531	True
27	0.08003393560647964	0.26910844445228577	-0.3643269663648496	4.95644733811844e-86	-0.445620124286164	1.1905173671436253e-132	community_type	0.26910844445228577	0.445620124286164	False
28	1.2426055669784546	0.38995471596717834	0.3503733125290313	2.819380462796167e-79	0.42941370060906425	2.6847108601890674e-122	community_type	0.38995471596717834	0.42941370060906425	False
29	2.2619788646698	0.7929253578186035	-0.2064515293186771	1.5734225133368556e-27	-0.27320581252109016	1.0700243506962155e-47	community_type	0.7929253578186035	0.27320581252109016	False
30	0.9261749982833862	0.731511116027832	0.46135504802033367	2.962343992886182e-143	0.5383841290503006	5.3639714144421285e-204	community_type	0.731511116027832	0.5383841290503006	False
31	1.2713987827301025	0.8231368064880371	-0.4798930149327987	1.7528229730775757e-156	-0.5925211680809035	3.58333643919293e-257	community_type	0.8231368064880371	0.5925211680809035	False
32	0.4567171633243561	0.41488152742385864	0.46537032253629823	4.735184151599483e-146	0.5774354157305236	2.401634261513075e-241	community_type	0.41488152742385864	0.5774354157305236	False
33	2.1437251567840576	0.7768815755844116	-0.4054287311305229	5.593309376174197e-108	-0.5200103639547793	4.635047503724249e-188	community_type	0.7768815755844116	0.5200103639547793	False
34	3.4128572940826416	0.5055682063102722	-0.43625667694572284	1.3367699855388181e-126	-0.5062358032244596	9.70792632456199e-177	community_type	0.5055682063102722	0.5062358032244596	False
35	1.4038723707199097	0.011394165456295013	-0.42756286502052876	3.764876766408613e-121	-0.5659572634509952	7.583987606641892e-230	community_type	0.011394165456295013	0.5659572634509952	True
36	1.9114738702774048	0.04829651117324829	-0.5724553075462376	2.6651135030930647e-236	-0.6834842244669089	0.0	community_type	0.04829651117324829	0.6834842244669089	True
