model,split,task,accuracy,balanced_accuracy,f1_macro_seen,f1_weighted,n_classes_seen,f1_macro_eligible,n_classes_eligible,f1_macro_eligible_ci_low,f1_macro_eligible_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,ci_resampling_unit,n_groups,fit_predict_s
RandomForest_Bal,train,feature,0.993421052631579,0.9966815742397138,0.9972215777254896,0.9934320829554203,10,0.9965269721568618,8,0.6200110304984392,0.9970861731000125,0.9935100186960306,0.9994363202342982,group,28,
kNN,test,feature,0.4790874524714829,0.354875283446712,0.3077417299005191,0.4265601099178777,6,0.3077417299005191,6,0.08716139606817742,0.4180526263611463,0.1445870047494063,0.6108878968253967,group,9,2.3
kNN,train,feature,0.9983552631578947,0.9994413407821229,0.9994878693936972,0.9983548676522752,10,0.9993598367421215,8,0.6236020718054835,1.0,0.998174745225158,1.0,group,28,
MajorityClass,test,sample_host,0.8512269938650306,0.16666666666666666,0.15327257663628832,0.7828185279123314,6,0.15327257663628832,6,0.1207073577627265,0.1637116687345798,0.16666666666666666,0.3333333333333333,group,25,0.7
MajorityClass,train,sample_host,0.6700239808153478,0.041666666666666664,0.03343385027761823,0.537635554967858,24,0.08024124066628374,10,0.05729388246606884,0.09451957526371867,0.043478260869565216,0.1111111111111111,group,42,
LogisticRegression_Bal,test,sample_host,0.8865030674846626,0.4859689649163334,0.5418986498930397,0.8936687450312591,6,0.5418986498930397,6,0.19088759374058326,0.5833567621637463,0.36899004252431983,0.7183931882160711,group,25,20.8
LogisticRegression_Bal,train,sample_host,0.9942446043165467,0.9996420901932712,0.9949183124004454,0.9945707442165692,24,0.987803949761069,10,0.3990900420910983,0.9957664872193815,0.9987262279272894,0.9998991667217008,group,42,
LinearSVM_Bal,test,sample_host,0.911042944785276,0.5342178210599263,0.579685561979808,0.9097471298897527,6,0.579685561979808,6,0.21575218113757735,0.6771930358855417,0.3598571806724897,0.888095675234598,group,25,56.6
LinearSVM_Bal,train,sample_host,0.9976019184652278,0.999850870913863,0.9977323193246651,0.9976628762849958,24,0.9945575663791966,10,0.39949452893813225,0.9994319502030462,0.9993470093736051,1.0,group,42,
RandomForest,test,sample_host,0.8573619631901841,0.231254939149676,0.2571717978292372,0.8301439902502377,6,0.2571717978292372,6,0.15283544083883543,0.2617597864493552,0.20236295994242895,0.46491228070175444,group,25,2.1
RandomForest,train,sample_host,0.9784172661870504,0.8003464489709199,0.8360258387168621,0.9756731593623238,24,0.9341209226382026,10,0.3845350249061604,0.95450695052775,0.7074767272415294,0.9327042553134514,group,42,
RandomForest_Bal,test,sample_host,0.8803680981595092,0.4225798673167094,0.49773487494836904,0.8815684994842014,6,0.49773487494836904,6,0.19483553646474538,0.5014685783888682,0.3248619391949842,0.6179772540972306,group,25,2.4
RandomForest_Bal,train,sample_host,0.9870503597122302,0.9918164309428704,0.9847470694475623,0.9883857894812658,24,0.9633929666741492,10,0.36564739428889437,0.976868463815076,0.9626984180432119,0.9990352621110272,group,42,
kNN,test,sample_host,0.848159509202454,0.5117872933662407,0.5801714706211025,0.877405050809613,6,0.5801714706211025,6,0.22132913643477026,0.6142945509438047,0.3815195960849187,0.7059616236085049,group,25,5.1
kNN,train,sample_host,1.0,1.0,1.0,1.0,24,1.0,10,0.4,1.0,1.0,1.0,group,42,
